n,place_name,coordinates_latitude,coordinates_longitude
5,"New Providence, Bahamas",25.03042,-77.40431
3,"Witney, Oxfordshire, England",51.7836,-1.4854
4,"Piscataqua, New Hampshire, United States",43.10064,-70.79283
1,"Fréjus, Provence-Alpes-Côte d'Azur, France",43.43286,6.73524
1,"Kinnegad, Leinster, Republic of Ireland",53.45222,-7.09972
46,"Herald's Office, London, England",51.50853,-0.12574
2,"Raphoe, County Donegal, Republic of Ireland",54.87472,-7.59833
1,"Sarlat-la-Canéda, Nouvelle-Aquitaine, France",44.88902,1.21656
6,"Sevilla, Andalusia, Spain",37.38283,-5.97317
1,"Chartham, Kent, England",51.2562,1.01836
21,"Zierikzee, Zeeland , Netherlands",51.65,3.91944
1,"Meer, Flanders, Belgium",51.44641,4.73906
51,"Drogheda, Leinster, Republic of Ireland",53.71889,-6.34778
1,"Ship, Talbot, Plymouth Sound, England",50.34389,-4.13889
9,"Heitersheim, Baden-Württemberg, Germany",47.87468,7.65721
1,"Bouchain, Hauts-de-France, France",50.28519,3.31491
1,"Carew Castle, Pembrokeshire, Wales, United Kingdom",51.69845,-4.83069
1,"Falkirk, Stirlingshire, Scotland",55.99917,-3.78713
27,"Aurich, Lower Saxony, Germany, (Holy Roman Empire)",53.46919,7.48232
4,"Jermyn Street, Westminster, London, England",51.5094,-0.1331
1,"Eastling, Kent, England",51.274,0.812
2,"Ham, (Surrey) Greater London, England",51.43619,-0.30933
1,"Ashby de la Zouch, Leicestershire, England",52.74632,-1.4732
1,"Mariakerke, West Flanders Province, Flanders, Belgium",51.21304,2.87773
2,"Boekhoute, Flemish Region, Belgium",51.25859,3.71783
37,"Dover, Kent, England",51.13333,1.3
1,"Martock, Somerset, England",50.97361,-2.76684
2,"Corny-Machéroménil, Grand Est, France",49.5789,4.4439
1,"Clayhall, Ilford, London, England",51.5906,0.0604
1,"Upper Seymour Street, Portman Square, London, England",51.515,-0.1572
17,"Viterbo, Lazio, Italy",42.41783,12.10856
2,"Clothall, Hertfordshire, England",51.9709,-0.15007
1,"Hartshorn, Leicestershire, England",52.78797,-1.52521
94,"Kassel, (Upper Rhenish Imperial Circle) Hesse, Germany, (Holy Roman Empire)",51.31667,9.5
7,Ireland,53,-8
1,"Brenley, Boughton-under-Blean, Kent, England",51.28981,0.93763
2,"Blokzijl, Overijssel, Netherlands",52.72667,5.96111
37,"Boston, Lincolnshire, England",52.97633,-0.02664
3,"Abbots Ripton, Cambridgeshire, England",52.38611,-0.1921
1,"Abbaye de Massay, Massay, Centre-Val de Loire, France",47.15324,1.99334
1,"Pitzkerdorf, Gdańsk, Pomeranian Voivodeship, Poland",54.35205,18.64637
1,"North Petherton, Somerset, England, United Kingdom",51.09243,-3.01549
82,"Wittenberg, (Upper Saxon Imperial Circle) Saxony-Anhalt, Germany, (Holy Roman Empire)",51.8661,12.64973
5,"Llanberis, (Caernarfonshire and Merionethshire) Gwynedd, Wales",53.11922,-4.13017
33,"Hardwick Hall, Derbyshire, England",53.1689,-1.3086
18,"Coombe Abbey, Coventry, Warwickshire, England",52.4144,-1.40804
4,"Chesterfield, Derbyshire, England",53.25,-1.41667
2,"Delville House, Dublin, Leinster, Republic of Ireland",53.33306,-6.24889
1,"Hermitage on St Leonard's Hill, Windsor, Berkshire, England",51.48333,-0.6
1,"Spring Gardens 9, Admiralty Arch, London, England",51.50683,-0.12856
