main_name.x,main_name.y
Richard Pace,"Wolsey, Thomas (Cardinal)"
Lord Cobham,"Walsingham, Francis (Sir)"
Sir Henry Wallop,"Walsingham, Francis (Sir)"
Colonel William Breton,"St John, Henry"
Sir Charles Hedges,Lord mayor of London
"Descartes, René","Hogelande, Cornelis"
Dr Ruy Lopez,"Sir Robert Cecil, Earl of Salisbury"
"Trenchard, John (Sir)",Admiralty
William Acworth,Navy Comrs
Sir Ralph Sadler,"Henry VIII, King of England and Ireland"
Richard Watts,"Williamson, Joseph (Sir)"
Capt. Giles Shelley,Navy Comrs
John Husee,"Honor Plantagenet, Lady Lisle"
William Bodham,Navy Comrs
"Thorp, George","William Sancroft, Archbishop of Canterbury"
Charles Fanshaw,King Dom Pedro II
A. Pflug,"Dudley Carleton, Viscount Dorchester"
Mr. Jerom Ham,Sir Michael Hicks (Hickes)
William Morice,"Thomas Cromwell, Earl of Essex"
M. Grotius,Unknown
Sir Richard Beach,Navy Comrs
Capt. Rob. Robinson,"Williamson, Joseph (Sir)"
"John Stewart, Earl of Mar","Sir Robert Cecil, Earl of Salisbury"
Captain Thomas Chamberlayne,"Sir Robert Cecil, Earl of Salisbury"
"Thomas Thirlby, Bishop of Westminster and Ely","Henry VIII, King of England and Ireland"
"Henry VIII, King of England and Ireland","Francis I, King of France"
"Ravis, Christian","Vossius, Gerardus Joannes"
"Charles I, King of England, Scotland, and Ireland",Samuel Boyce
"Thomas, Earl of Ormond and Ossory",The Earl of Tyrone
"James Butler of Duiske (illegitimate son of Thomas Butler, 10th Earl of Ormond)",Brian Reogh O'More
T. Wilson,Samuel Pepys
"Vernon, Francis","Williamson, Joseph (Sir)"
John de la Sauch,"Wolsey, Thomas (Cardinal)"
William Paule,"Robert Devereux, Earl of Essex"
"Waterhouse, Edward (Sir)","Sir William Cecil, Lord Burghley"
Sir Francis Vere,"Walsingham, Francis (Sir)"
"Gough, Richard","Hutchins, Anne (Mrs)"
"Thurloe, John",Sir William Lockhart
"Thos. White, Dover",Navy Comrs
Hyndford,The King of Prussia
"Bilderbeeck, Hendrick van",Sir Robert Naunton
Navy Comrs,Admiralty
"Newton, Isaac (Sir)","Oldenburg, Henry"
"Sir John Knight, mayor of Bristol",Navy Comrs
